Country,Country Code,Region,Income Group,Year,Life Expectancy,Prevalence of Undernourishment,CO2 Emissions,Health Expenditure %,Education Expenditure %,Unemployment,Injuries,Communicable Diseases,Non Communicable Diseases,GDP (Billions),Access to clean water,Population (historical estimates)
Albania,ALB,Europe & Central Asia,Upper middle income,2010,76.562,5.8,4449.999809265,4.7457962,3.347928651,14.090000153,81439.75,68800.04,560636.42,11.927,62.300630190,2913402
Albania,ALB,Europe & Central Asia,Upper middle income,2011,76.914,5.4,4849.999904633,4.79534149,3.079999924,13.479999542,80572.2,66856.83,571613.21,12.891,64.327402608,2900660
Albania,ALB,Europe & Central Asia,Upper middle income,2012,77.252,5.1,4360.000133514,5.05526543,2.930000067,13.380000114,80941.92,64252.13,578042.75,12.32,66.380852035,2892191
Albania,ALB,Europe & Central Asia,Upper middle income,2013,77.554,5,4440.000057220,5.38561106,3.539299965,15.869999886,79780.26,61591.37,584989.5,12.776,68.459832807,2887019
Albania,ALB,Europe & Central Asia,Upper middle income,2014,77.813,5,4820.000171661,5.50347328,3.049999952,18.049999237,80269.4,59159.9,595449.46,13.228,70.563261019,2884100
Albania,ALB,Europe & Central Asia,Upper middle income,2015,78.025,4.9,4619.999885559,4.89631176,3.437969923,17.190000534,80908.83,57284.75,607281.32,11.387,70.591969886,2882482
Albania,ALB,Europe & Central Asia,Upper middle income,2016,78.194,4.7,4480.000019073,4.91601658,3.962090015,15.420000076,81528.11,55750.85,614034.75,11.861,70.616507855,2881064
Albania,ALB,Europe & Central Asia,Upper middle income,2017,78.333,4.7,5139.999866486,5.01263571,3.611730099,13.619999886,81733.67,54297.2,619848.51,13.02,70.636941590,2879361
Albania,ALB,Europe & Central Asia,Upper middle income,2018,78.458,4.6,5110.000133514,5.23207188,3.347928651,12.300000191,80863.83,53068.75,625477.23,15.156,70.653351623,2877019
Albania,ALB,Europe & Central Asia,Upper middle income,2019,78.573,4.3,4829.999923706,5.657288418,3.916650057,11.470000267,82288.1,51797.42,631629.88,15.402,70.665855005,2873883
Algeria,DZA,Middle East & North Africa,Lower middle income,2001,71.116,8,78650,3.83787704,5.720433772,27.299999237,1608318.07,2111100.61,5443142.91,54.745,70.642185028,31200984
Algeria,DZA,Middle East & North Africa,Lower middle income,2002,71.605,7.3,82400.001525879,3.7300415,5.720433772,25.899999619,1553845.31,2069327.59,5508249.32,56.76,42.202533760,31624700
Algeria,DZA,Middle East & North Africa,Lower middle income,2003,72.101,7,88190.002441406,3.60104108,5.720433772,23.719999313,1599531.45,2034126.11,5571735.84,67.864,42.378589079,32055882
Algeria,DZA,Middle East & North Africa,Lower middle income,2004,72.594,7,89489.997863770,3.5440731,5.720433772,17.649999619,1414013.92,1992477.02,5660686.24,85.333,72.247551766,32510184
Algeria,DZA,Middle East & North Africa,Lower middle income,2005,73.072,6.7,94190.002441406,3.2351613,5.720433772,15.270000458,1366864.54,1966546.31,5744011.18,103.198,72.753151054,32956690
Algeria,DZA,Middle East & North Africa,Lower middle income,2006,73.521,6.4,99809.997558594,3.35510182,4.619999886,12.270000458,1344806.33,1946060.11,5829040.2,117.027,73.244346607,33435082
Algeria,DZA,Middle East & North Africa,Lower middle income,2007,73.936,5.9,102750,3.8214159,4.960000038,13.789999962,1340810.58,1923742.87,5916938.5,134.977,73.720721261,33983836
Algeria,DZA,Middle East & North Africa,Lower middle income,2008,74.311,5.6,107750,4.20188379,4.337019920,11.329999924,1306605.92,1903289.33,6011211.82,171.001,74.182823843,34569592
Algeria,DZA,Middle East & North Africa,Lower middle income,2009,74.644,5.1,112169.998168945,5.3593955,6.030000210,10.159999847,1291012.47,1893227.66,6111864.09,137.211,74.627687724,35196040
Algeria,DZA,Middle East & North Africa,Lower middle income,2010,74.938,4.3,114180.000305176,5.11717176,5.720433772,9.960000038,1246848.01,1869500.26,6219718.07,161.207,75.056807813,35856348
Algeria,DZA,Middle East & North Africa,Lower middle income,2011,75.199,3.8,120790.000915527,5.26748085,5.720433772,9.960000038,1242386.26,1848694.18,6345217.75,200.013,75.469916980,36543548
Algeria,DZA,Middle East & North Africa,Lower middle income,2012,75.436,3.2,134929.992675781,6.00050974,5.720433772,10.970000267,1230346.36,1822766.32,6466706.55,209.059,75.867622969,37260568
Algeria,DZA,Middle East & North Africa,Lower middle income,2013,75.661,3,139020.004272461,6.03576279,5.720433772,9.819999695,1222810.78,1813987.84,6603616.61,209.755,76.250142682,38000628
Algeria,DZA,Middle East & North Africa,Lower middle income,2014,75.878,2.9,147740.005493164,6.54721403,5.720433772,10.210000038,1220395.16,1808593,6752637.69,213.81,76.618231935,38760168
Algeria,DZA,Middle East & North Africa,Lower middle income,2015,76.09,2.8,156270.004272461,6.9784894,5.720433772,11.210000038,1209097.11,1779055.15,6890763.97,165.979,76.971960635,39543148
Algeria,DZA,Middle East & North Africa,Lower middle income,2016,76.298,2.8,154910.003662109,6.60749578,7.344359875,10.199999809,1184780.1,1716609.07,7007974.48,160.034,76.394859263,40339328
Algeria,DZA,Middle East & North Africa,Lower middle income,2017,76.499,2.7,158339.996337891,6.27938414,6.505380154,10.333000183,1172714.95,1638780.89,7133155.49,170.097,75.730541788,41136548
Algeria,DZA,Middle East & North Africa,Lower middle income,2018,76.693,2.5,165539.993286133,6.16302586,5.866350174,10.420000076,1196186.9,1563511.22,7293784.24,174.911,75.036130400,41927008
Algeria,DZA,Middle East & North Africa,Lower middle income,2019,76.88,2.5,171250,6.24337101,6.100359917,10.512999535,1176358.65,1498294.9,7447484.97,171.76,73.953877494,42705372
Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,47.059,67.5,15960,4.48351622,2.866502539,4.004000187,1392080.71,11190210.53,2663516.34,8.936,14.779220352,16941584
Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,47.702,63.2,15689.999580383,3.32946134,2.866502539,3.960999966,1218390.06,11126180.82,2725500.21,15.286,14.445662179,17516140
Angola,AGO,Sub-Saharan Africa,Lower middle income,2003,48.44,58.7,16760.000228882,3.54797316,2.866502539,3.957999945,1204475.81,11059687.49,2817017.06,17.813,15.112778525,18124346
Angola,AGO,Sub-Saharan Africa,Lower middle income,2004,49.263,55.1,17450.000762940,3.96720099,2.866502539,3.915999889,1272980.01,10920209.2,2951780.84,23.552,14.779220352,18771128
Angola,AGO,Sub-Saharan Africa,Lower middle income,2005,50.165,52.2,15810.000419617,2.85219693,2.120110035,3.881999969,1257995.96,10778976.02,3009696.38,36.971,14.779220352,19450962
Angola,AGO,Sub-Saharan Africa,Lower middle income,2006,51.143,49.3,16559.999465942,2.68553662,2.281460047,3.858000040,1261954.18,10718718.62,3088844.29,52.381,14.779220352,20162338
Angola,AGO,Sub-Saharan Africa,Lower middle income,2007,52.177,46.1,16969.999313354,2.97438812,2.920000076,3.821000099,1274747.56,10310598.25,3162603.6,65.266,14.779220352,20909692
Angola,AGO,Sub-Saharan Africa,Lower middle income,2008,53.243,42.9,19280.000686646,3.32290483,2.690000057,3.792999983,1268731.11,9964158.73,3248453.77,88.539,14.779220352,21691524
Angola,AGO,Sub-Saharan Africa,Lower middle income,2009,54.311,33.1,21149.999618530,3.84260869,3.210000038,3.779999971,1261180.24,9690114.79,3327472.94,70.307,14.779220352,22507674
Angola,AGO,Sub-Saharan Africa,Lower middle income,2010,55.35,23.9,22799.999237060,2.69510007,3.421319962,9.430000305,1267430.98,9369345.53,3427812.06,81.7,14.779220352,23364196
Angola,AGO,Sub-Saharan Africa,Lower middle income,2011,56.33,16.4,23870.000839233,2.64560795,3.029999971,7.360000134,1263108.34,9114917.42,3506251.22,109.437,14.779220352,24259120
Angola,AGO,Sub-Saharan Africa,Lower middle income,2012,57.236,15.1,23870.000839233,2.39574957,3.081910849,7.347000122,1245939.46,8866604.66,3590872.46,124.998,14.779220352,25188298
Angola,AGO,Sub-Saharan Africa,Lower middle income,2013,58.054,14.3,26959.999084473,2.73282766,4.438949585,7.366000175,1215812.93,8611584.35,3654037.29,133.402,14.779220352,26147012
Angola,AGO,Sub-Saharan Africa,Lower middle income,2014,58.776,13.7,29629.999160767,2.43412852,3.122917652,7.372000217,1182079.97,8309452.09,3692435.18,137.244,14.779220352,27128340
Angola,AGO,Sub-Saharan Africa,Lower middle income,2015,59.398,14.5,31649.999618530,2.60579491,3.486895800,7.392000198,1176597.19,8056503.17,3778744.4,87.219,14.779220352,28127724
Angola,AGO,Sub-Saharan Africa,Lower middle income,2016,59.925,15.4,29760.000228882,2.71314907,2.754936457,7.412000179,1151526.25,7928961.23,3845106.11,49.84,14.779220352,29154742
Angola,AGO,Sub-Saharan Africa,Lower middle income,2017,60.379,15.4,24250,2.79150295,2.466878891,7.407999992,1155447.76,7697608.85,3949010.17,68.973,14.779220352,30208634
Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,60.782,15.7,23959.999084473,2.54010224,2.044701338,7.421000004,1158963.53,7474999.86,4055077.37,77.793,14.779220352,31273538
Angola,AGO,Sub-Saharan Africa,Lower middle income,2019,61.147,17.9,25209.999084473,2.53335953,1.927457333,7.421000004,1168866,7237433.13,4176568.27,69.309,14.779220352,32353592
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,74.171,,350,5.43587589,2.709805449,,2201.12,3279.72,14289.69,0.8,83.187801247,76227
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2002,74.395,,389.999985695,5.28793621,3.395250082,,2182.35,3199.12,14520.23,0.814,82.662637199,77216
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2003,74.613,,409.999996424,5.58626556,2.709805449,,2198.61,3068.21,14763.34,0.856,83.712965295,78095
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2004,74.821,,400.000005960,5.11667967,2.709805449,,2223.04,3035.49,15005.2,0.92,83.187801247,78955
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2005,75.019,,409.999996424,4.9945569,2.709805449,,2247.22,2901.01,15252.01,1.023,83.187801247,79879
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2006,75.204,,439.999997616,4.63347101,2.709805449,,2207.7,2853.61,15599.46,1.158,83.187801247,80909
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2007,75.376,,460.000008345,4.44986248,2.709805449,,2103.06,2756.19,16452.74,1.313,83.187801247,82035
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2008,75.535,,479.999989271,4.2048173,2.709805449,,2058.23,2682.43,16712.17,1.37,83.187801247,83267
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2009,75.683,,1389.999985695,4.19123125,2.508889914,,2217.79,2586.94,16465.78,1.228,83.187801247,84546
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2010,75.823,,490.000009537,5.37907028,2.709805449,,2168.34,2591.07,16747.9,1.149,83.187801247,85710
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2011,75.956,,540.000021458,5.44257212,2.709805449,,2158.79,2559.51,17051.53,1.138,83.187801247,86749
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2012,76.087,,699.999988079,5.47921419,2.709805449,,2179.43,2500.19,17329.92,1.2,83.187801247,87688
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2013,76.218,,469.999998808,5.50909281,2.709805449,,2179.84,2469.44,17595.18,1.181,83.187801247,88512
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2014,76.349,,479.999989271,5.87269974,2.709805449,,2141.9,2553.2,18048.32,1.25,83.187801247,89252
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2015,76.483,,490.000009537,5.27965546,2.709805449,,2127.43,2554.74,18383.25,1.337,83.187801247,89958
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2016,76.617,,500,5.12190151,2.430804491,,2129.76,2505.09,18713.09,1.437,83.187801247,90575
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2017,76.752,,500,4.87493944,2.448477507,,2200.63,2449.17,19017.32,1.468,83.187801247,91133
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2018,76.885,,509.999990463,4.85093021,2.644075632,,2162.06,2415.23,19329.36,1.605,83.187801247,91644
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2019,77.016,,519.999980927,4.44295979,2.831335068,,2170.33,2388.77,19679.1,1.675,83.187801247,92127
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,73.755,3,125260,8.37179756,4.833740234,17.319999695,1397676.07,1507068.98,8070909.52,268.697,,37480492
Argentina,ARG,Latin America & Caribbean,Upper middle income,2002,73.932,3.8,117470.001220703,7.3933115,4.017340183,19.590000153,1399269.32,1557396.78,8194861.85,97.724,,37885024
Argentina,ARG,Latin America & Caribbean,Upper middle income,2003,74.107,4.5,127660.003662109,6.89451599,3.535049915,15.359999657,1364894.64,1571267.73,8275119.93,127.587,,38278164
Argentina,ARG,Latin America & Caribbean,Upper middle income,2004,74.28,4,141380.004882813,7.22868299,3.486520052,13.520000458,1322976.39,1516113.41,8238572.94,164.658,,38668796
Argentina,ARG,Latin America & Caribbean,Upper middle income,2005,74.451,3.7,145990.005493164,7.61078882,3.860009909,11.510000229,1325638.99,1447163.21,8238762.03,198.737,,39070504
Argentina,ARG,Latin America & Caribbean,Upper middle income,2006,74.62,3.4,154899.993896484,7.64032841,4.128210068,10.079999924,1347931.57,1436963.34,8304714.97,232.557,,39476856
Argentina,ARG,Latin America & Caribbean,Upper middle income,2007,74.787,3.3,162809.997558594,7.83455086,4.462600231,8.470000267,1366995.79,1485470.99,8478942.88,287.531,,39876116
Argentina,ARG,Latin America & Caribbean,Upper middle income,2008,74.952,3.3,167229.995727539,8.18266869,4.844409943,7.840000153,1394355.56,1486938.26,8473323.55,361.558,,40273768
Argentina,ARG,Latin America & Caribbean,Upper middle income,2009,75.116,3.2,156570.007324219,9.45598793,5.531050205,8.649999619,1398097.29,1490845.69,8554280.25,332.976,,40684344
Argentina,ARG,Latin America & Caribbean,Upper middle income,2010,75.278,3.1,167220.001220703,9.44546986,5.019710064,7.710000038,1401304.9,1493603.73,8651598.48,423.627,,41100124
Argentina,ARG,Latin America & Caribbean,Upper middle income,2011,75.439,2.9,176639.999389648,9.41821575,5.290629864,7.179999828,1420669.31,1490301.03,8739679.99,530.158,,41520736
Argentina,ARG,Latin America & Caribbean,Upper middle income,2012,75.598,2.8,177960.006713867,9.82728195,5.345829964,7.219999790,1443818.05,1471872.18,8820699,545.982,,41952364
Argentina,ARG,Latin America & Caribbean,Upper middle income,2013,75.756,2.6,183250,9.78097343,5.436610222,7.099999905,1458094.44,1487174.67,8906865.36,552.025,,42388268
Argentina,ARG,Latin America & Caribbean,Upper middle income,2014,75.913,2.5,179600.006103516,9.67129135,5.361440182,7.269999981,1443221.24,1492330.31,8969158.26,526.32,,42824064
Argentina,ARG,Latin America & Caribbean,Upper middle income,2015,76.068,2.5,185550.003051758,10.22933865,5.776110172,7.520999908,1424177.46,1474333.51,9112348.45,594.749,,43257064
Argentina,ARG,Latin America & Caribbean,Upper middle income,2016,76.221,2.6,183160.003662109,9.00189686,5.545489788,8.111000061,1437579.67,1493347.53,9356521.8,557.532,,43668236
Argentina,ARG,Latin America & Caribbean,Upper middle income,2017,76.372,3.1,179320.007324219,10.44225502,5.454319954,8.350000381,1453282.85,1467504.75,9489390.39,643.628,,44054616
Argentina,ARG,Latin America & Caribbean,Upper middle income,2018,76.52,3.4,176899.993896484,9.66646481,4.877739906,9.220000267,1455008.45,1444052.37,9562437.21,524.82,,44413592
Argentina,ARG,Latin America & Caribbean,Upper middle income,2019,76.667,3.5,168100.006103516,9.5100708,4.724170208,9.840000153,1454140.45,1433228.63,9699014.8,447.755,,44745516
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,71.8,26.1,3600,4.64562702,2.469439983,10.911999702,103371.75,122238.13,767916.19,2.118,82.458618692,3133138
Armenia,ARM,Europe & Central Asia,Upper middle income,2002,72.112,24.5,3119.999885559,7.61359835,2.135040045,10.776000023,98830.06,115370.74,774712.2,2.376,82.993294725,3105040
Armenia,ARM,Europe & Central Asia,Upper middle income,2003,72.348,21.1,3500,7.17937517,2.145040035,10.593999863,94756.4,110954.82,784556.42,2.807,82.993294725,3084107
Armenia,ARM,Europe & Central Asia,Upper middle income,2004,72.513,16,3759.999990463,6.05508518,2.486730099,10.343999863,92640.12,107986.46,783356.25,3.577,82.810559451,3065748
Armenia,ARM,Europe & Central Asia,Upper middle income,2005,72.626,12.3,4460.000038147,5.86188269,2.712029934,10.203000069,92659.79,105444.38,793047.77,4.9,82.929755861,3047254
Armenia,ARM,Europe & Central Asia,Upper middle income,2006,72.716,9.3,4489.999771118,5.85007095,2.715770006,9.996999741,93356.64,104959.6,802931.28,6.384,83.049566319,3026490
Armenia,ARM,Europe & Central Asia,Upper middle income,2007,72.815,6.9,5199.999809265,5.49814558,3.018939972,9.810000420,92994.89,98901.2,796328.81,9.206,83.169924325,3004398
Armenia,ARM,Europe & Central Asia,Upper middle income,2008,72.946,5.6,5690.000057220,6.6397624,3.172729969,14.392999649,91654.04,97242.98,803568.89,11.662,83.290892298,2983425
Armenia,ARM,Europe & Central Asia,Upper middle income,2009,73.118,4.4,4510.000228882,8.44377995,3.840790033,18.440000534,90683.22,94419.59,800241.45,8.648,83.266164620,2964300
Armenia,ARM,Europe & Central Asia,Upper middle income,2010,73.331,3.7,4340.000152588,9.23539066,3.249000072,19.010000229,89368.82,91218.33,796897.9,9.26,83.241589354,2946296
Armenia,ARM,Europe & Central Asia,Upper middle income,2011,73.572,3.4,4940.000057220,9.37587833,3.143850088,18.440000534,88337.73,88024.47,793471.02,10.142,83.217169341,2928984
Armenia,ARM,Europe & Central Asia,Upper middle income,2012,73.82,3.2,5719.999790192,9.134552,2.772480011,17.299999237,87241.65,83418.32,784451.29,10.619,83.192889034,2914428
Armenia,ARM,Europe & Central Asia,Upper middle income,2013,74.056,3.2,5500,10.32344532,2.650180101,16.180000305,82888.24,79985.07,769111.51,11.121,83.169022609,2901386
Armenia,ARM,Europe & Central Asia,Upper middle income,2014,74.273,2.8,5480.000019073,10.17827034,2.247240067,17.5,82132.09,77987.01,767444.84,11.61,83.145348035,2889937
Armenia,ARM,Europe & Central Asia,Upper middle income,2015,74.467,2.8,5340.000152588,10.11763382,2.805910110,18.260000229,83366.36,76354.25,777344.69,10.553,83.078210717,2878598
Armenia,ARM,Europe & Central Asia,Upper middle income,2016,74.64,2.7,5070.000171661,9.95196629,2.758120060,17.620000839,85975.39,75795.64,773727.64,10.546,82.934730861,2865841
Armenia,ARM,Europe & Central Asia,Upper middle income,2017,74.797,2.8,5369.999885559,10.36270523,2.707590103,17.700000763,78192.14,71411.13,775713.1,11.527,82.791458376,2851929
Armenia,ARM,Europe & Central Asia,Upper middle income,2018,74.945,2.9,5710.000038147,10.00543404,2.255870104,18.969999313,77822.54,68406.13,777588.26,12.458,82.959838041,2836563
Armenia,ARM,Europe & Central Asia,Upper middle income,2019,75.087,3.1,6170.000076294,11.33526421,2.561850071,18.299999237,77080.05,65538.36,779634.15,13.619,82.822847760,2820604
Australia,AUS,East Asia & Pacific,High income,2001,79.634146341,2.5,345640,7.69622898,5.053558520,6.739999771,612233.81,208282.73,4158052.86,379.358,,19248146
Australia,AUS,East Asia & Pacific,High income,2002,79.936585366,2.5,353369.995117188,7.89332151,5.053558520,6.369999886,612146.16,208508.22,4204336.65,395.573,,19475842
Australia,AUS,East Asia & Pacific,High income,2003,80.239024390,2.5,352579.986572266,7.90449524,5.053558520,5.929999828,613326.24,208611.73,4227423.34,467.498,,19699004
Australia,AUS,East Asia & Pacific,High income,2004,80.490243902,2.5,365809.997558594,8.10948753,5.053558520,5.389999866,610320.96,208353.41,4257978.72,614.326,,19925060
Australia,AUS,East Asia & Pacific,High income,2005,80.841463415,2.5,370089.996337891,7.99008226,4.898519993,5.030000210,613138.17,207652.87,4288693.98,695.305,,20171732
Australia,AUS,East Asia & Pacific,High income,2006,81.041463415,2.5,375489.990234375,7.98943853,4.740650177,4.780000210,620166.47,208949.56,4335611.65,747.907,,20467032
Australia,AUS,East Asia & Pacific,High income,2007,81.292682927,2.5,385750,8.06755352,4.656219959,4.380000114,631511.69,208465.56,4417087.59,854.427,,20830832
Australia,AUS,East Asia & Pacific,High income,2008,81.395121951,2.5,388940.002441406,8.25585651,4.632780075,4.230000019,642859.89,206764.59,4482245.07,1055.69,,21247876
Australia,AUS,East Asia & Pacific,High income,2009,81.543902439,2.5,395290.008544922,8.56316471,5.084519863,5.559999943,658193.07,208003.61,4522625.2,928.63,,21660898
Australia,AUS,East Asia & Pacific,High income,2010,81.695121951,2.5,387540.008544922,8.4308424,5.543039799,5.210000038,657309.78,208415.22,4567494.91,1148.57,,22019166
Australia,AUS,East Asia & Pacific,High income,2011,81.895121951,2.5,386380.004882813,8.54153824,5.069950104,5.079999924,663308.41,208749.35,4626553.29,1398.46,,22357032
Australia,AUS,East Asia & Pacific,High income,2012,82.046341463,2.5,386970.001220703,8.67564774,4.867879868,5.219999790,665745.89,206754.22,4660903.82,1546.95,,22729272
Australia,AUS,East Asia & Pacific,High income,2013,82.148780488,2.5,380279.998779297,8.76116371,5.229239941,5.659999847,672344.84,208087.64,4721750.29,1576.33,,23111788
Australia,AUS,East Asia & Pacific,High income,2014,82.3,2.5,371630.004882813,9.03597069,5.164690018,6.079999924,687545.02,208396.13,4811317.03,1467.59,,23469578
Australia,AUS,East Asia & Pacific,High income,2015,82.4,2.5,377799.987792969,9.32758904,5.315839767,6.050000191,703952.21,212457.42,4903709.39,1350.58,,23820240
Australia,AUS,East Asia & Pacific,High income,2016,82.448780488,2.5,384989.990234375,9.24815178,5.286230087,5.710000038,715219.73,214189.82,4970102.42,1206.56,,24195706
Australia,AUS,East Asia & Pacific,High income,2017,82.5,2.5,389160.003662109,9.26682281,5.136809826,5.590000153,729732.72,214605.47,5081739.38,1326.47,,24590336
Australia,AUS,East Asia & Pacific,High income,2018,82.748780488,2.5,387070.007324219,9.1550045,5.123449802,5.300000191,740289.3,215989.71,5215443.84,1428.27,,24979228
Australia,AUS,East Asia & Pacific,High income,2019,82.9,2.5,386529.998779297,9.91078568,5.053558520,5.159999847,748180.59,217234.75,5323684.11,1392.22,,25357168
Austria,AUT,Europe & Central Asia,High income,2001,78.575609756,2.5,67910,9.26942921,5.575479984,4.010000229,240208.86,77701.17,2101883.59,197.509,96.890497770,8039633
Austria,AUT,Europe & Central Asia,High income,2002,78.678048780,2.5,69370.002746582,9.3947649,5.522130013,4.849999905,239073.82,77002.74,2109744.02,214.395,98.264875907,8078994
